,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,0.0,0.0,0.0,,,,,,,,,,,,
4,0.0,0.0,0.0,,,,,,,,,,,,
5,0.0,0.0,0.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,1.5,1.0,0.5,,,,,,,,,,,,
8,16.5,9.5,4.5,,,,,,,,,,,,
9,0.0,0.0,0.0,,,,,,,,,,,,
10,0.0,0.0,0.0,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,9.0,3.5,2.0,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,5.5,2.0,0.5,,,,,,,,,,,,
15,0.5,2.0,0.5,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,2.0,1.5,1.5,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,0.0,0.0,0.0,,,,,,,,,,,,
22,5.5,1.0,0.5,,,,,,,,,,,,
23,17.0,6.0,1.5,,,,,,,,,,,,
24,0.5,0.5,0.5,,,,,,,,,,,,
25,12.0,3.5,1.0,,,,,,,,,,,,
26,7.5,5.0,1.5,,,,,,,,,,,,
27,26.0,7.0,2.5,,,,,,,,,,,,
28,4.5,1.5,0.5,,,,,,,,,,,,
29,0.0,0.0,0.0,,,,,,,,,,,,
30,0.0,0.0,0.0,,,,,,,,,,,,
31,0.0,0.0,0.0,,,,,,,,,,,,
