,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,8.0,2.0,0.5,,,,,,,,,,,,
2,3.0,1.0,0.5,,,,,,,,,,,,
3,6.0,2.0,0.5,,,,,,,,,,,,
4,0.5,0.5,0.5,,,,,,,,,,,,
5,0.0,0.0,0.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,1.0,1.0,0.5,,,,,,,,,,,,
8,31.5,3.0,1.0,,,,,,,,,,,,
9,9.0,2.5,0.5,,,,,,,,,,,,
10,0.0,0.0,0.0,,,,,,,,,,,,
11,1.5,1.0,0.5,,,,,,,,,,,,
12,0.0,0.0,0.0,,,,,,,,,,,,
13,0.5,0.5,0.5,,,,,,,,,,,,
14,0.0,0.0,0.0,,,,,,,,,,,,
15,1.0,0.5,0.5,,,,,,,,,,,,
16,1.0,0.5,0.5,,,,,,,,,,,,
17,3.5,2.0,0.5,,,,,,,,,,,,
18,0.0,0.0,0.0,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,6.0,1.5,1.0,,,,,,,,,,,,
21,5.5,1.5,1.0,,,,,,,,,,,,
22,0.0,0.0,0.0,,,,,,,,,,,,
23,0.5,0.5,0.5,,,,,,,,,,,,
24,0.5,0.5,0.5,,,,,,,,,,,,
25,0.0,0.0,0.0,,,,,,,,,,,,
26,0.0,0.0,0.0,,,,,,,,,,,,
27,0.0,0.0,0.0,,,,,,,,,,,,
28,7.0,3.0,1.0,,,,,,,,,,,,
29,17.5,2.0,0.5,,,,,,,,,,,,
30,2.0,0.5,0.5,,,,,,,,,,,,
31,7.0,1.5,0.5,,,,,,,,,,,,
